episode,waiting_time,execution_time,n_qtasks_on_qnode,reward,reschedule_count
84,5337.976695571464,1511.0986716805216,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 8}",-155.94562277519597,41
85,6093.7656945686995,1507.2281633395166,"{'qnode_id_0': 9, 'qnode_id_1': 10, 'qnode_id_2': 9, 'qnode_id_3': 9, 'qnode_id_4': 9}",-215.08331929305223,66
86,2932.1963884827346,1226.0066807433323,"{'qnode_id_0': 7, 'qnode_id_1': 7, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 7}",-126.47888071150454,38
87,3637.9228516029953,1315.7558631885145,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 8}",-159.2202700546069,43
88,2523.9808978753354,1135.3611012190238,"{'qnode_id_0': 6, 'qnode_id_1': 6, 'qnode_id_2': 6, 'qnode_id_3': 6, 'qnode_id_4': 7}",-67.03777522377449,16
89,4367.464398575951,1228.456577984404,"{'qnode_id_0': 8, 'qnode_id_1': 7, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 7}",-115.73593104213249,33
90,2816.422566989062,1363.1569828095226,"{'qnode_id_0': 7, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 7}",-136.0874350862104,38
91,2606.535755000631,1029.0051066168667,"{'qnode_id_0': 7, 'qnode_id_1': 7, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 8}",-116.63970784579351,31
92,5400.731544693391,1362.138124018297,"{'qnode_id_0': 7, 'qnode_id_1': 7, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 6}",-95.02510646921051,24
93,2231.908720328546,1097.0834216224305,"{'qnode_id_0': 7, 'qnode_id_1': 7, 'qnode_id_2': 6, 'qnode_id_3': 6, 'qnode_id_4': 7}",-87.16359891860462,23
94,3230.0720175466295,1004.3868614183082,"{'qnode_id_0': 9, 'qnode_id_1': 9, 'qnode_id_2': 9, 'qnode_id_3': 9, 'qnode_id_4': 9}",-208.30547611718762,68
95,1491.890893337344,792.0473685865627,"{'qnode_id_0': 6, 'qnode_id_1': 6, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 6}",-67.83006803384038,26
96,1423.2312380366347,899.1408149572692,"{'qnode_id_0': 7, 'qnode_id_1': 7, 'qnode_id_2': 7, 'qnode_id_3': 6, 'qnode_id_4': 7}",-98.58480013522772,26
97,2625.549158299117,1142.3542851432574,"{'qnode_id_0': 7, 'qnode_id_1': 6, 'qnode_id_2': 6, 'qnode_id_3': 7, 'qnode_id_4': 7}",-84.03670236908842,25
98,3157.4538813665076,1211.4507205155628,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 8}",-154.98792101112141,44
99,1885.1529862012949,755.0868165608249,"{'qnode_id_0': 7, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 7}",-133.66135625025436,39
